[2026-01-09 11:06:43.556] [info] HikRobot's daemon thread started.
[2026-01-09 11:06:43.826] [info] HikRobot's capture thread started.
[2026-01-09 11:06:45.700] [info] HikRobot's daemon thread started.
[2026-01-09 11:06:45.942] [info] HikRobot's capture thread started.
[2026-01-09 11:06:50.097] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.107] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.124] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.135] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.151] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.162] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.179] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.190] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.206] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.217] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.234] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.245] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.261] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.272] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.289] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.300] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.316] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.327] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.344] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.355] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.371] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.382] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.398] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.409] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.425] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.436] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.452] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.462] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.477] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.488] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.503] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.514] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.530] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.541] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.557] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.567] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.582] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.592] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.607] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.617] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.633] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.642] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.657] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.667] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.682] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.692] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.707] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.717] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.732] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.742] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.762] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.772] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.787] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.797] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.812] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.822] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.837] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.847] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.862] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.872] [info] Gimbal Q -> w:0.597, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.887] [info] Gimbal Q -> w:0.598, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.897] [info] Gimbal Q -> w:0.598, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.912] [info] Gimbal Q -> w:0.598, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.922] [info] Gimbal Q -> w:0.598, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.937] [info] Gimbal Q -> w:0.598, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.947] [info] Gimbal Q -> w:0.598, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.962] [info] Gimbal Q -> w:0.598, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.972] [info] Gimbal Q -> w:0.598, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.987] [info] Gimbal Q -> w:0.598, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:50.997] [info] Gimbal Q -> w:0.598, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:51.012] [info] Gimbal Q -> w:0.598, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:51.022] [info] Gimbal Q -> w:0.598, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:51.037] [info] Gimbal Q -> w:0.598, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:51.047] [info] Gimbal Q -> w:0.598, x:0.020, y:0.008, z:-0.802
[2026-01-09 11:06:51.062] [info] Gimbal Q -> w:0.598, x:0.020, y:0.008, z:-0.802
